** CONVERTED FROM D:\data\some_file.edf using edfapi 3.1 Win32 Jan 19 2015 on Wed Jul 15 15:03:16 2015
** DATE: Wed Jul 15 01:41:59 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.04 Sep 25 2014
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BBD46
** CAMERA_CONFIG: BBD46200.SCD
**

MSG	4489873 RECCFG CR 500 2 1 LR
MSG	4489873 ELCLCFG BTABLER
MSG	4489873 GAZE_COORDS 0.00 0.00 1279.00 1023.00
MSG	4489873 THRESHOLDS L 51 201  R 47 207
MSG	4489873 ELCL_WINDOW_SIZES 160 160 0 0
MSG	4489873 ELCL_PROC CENTROID (3)
MSG	4489873 ELCL_PCR_PARAM 5 3.0
START	4489874 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
MSG	4489874 !MODE RECORD CR 500 2 1 LR
4490074	   .	   .	    0.0	  721.5	  486.5	 6089.0	32768.0	..R..
4490076	   .	   .	    0.0	  721.9	  485.6	 6088.0	32768.0	.....
4490078	   .	   .	    0.0	  721.4	  485.2	 6087.0	32768.0	.....
4490080	   .	   .	    0.0	  721.1	  485.4	 6092.0	32768.0	.....
4490082	   .	   .	    0.0	  721.6	  485.4	 6091.0	32768.0	.C...
4490084	   .	   .	    0.0	  722.5	  485.6	 6089.0	32768.0	.C...
4490086	   .	   .	    0.0	  722.0	  485.5	 6087.0	32768.0	.C...
4490088	   .	   .	    0.0	  722.3	  486.4	 6088.0	32768.0	.C...
4490090	   .	   .	    0.0	  721.8	  487.0	 6089.0	32768.0	.C...
4490092	   .	   .	    0.0	  720.1	  486.6	 6090.0	32768.0	.C...
4490094	   .	   .	    0.0	  721.5	  485.6	 6089.0	32768.0	.C...
4490096	   .	   .	    0.0	  722.5	  484.4	 6087.0	32768.0	.C...
4490098	   .	   .	    0.0	  721.4	  485.5	 6086.0	32768.0	.C...
4490100	   .	   .	    0.0	  720.9	  487.0	 6083.0	32768.0	.C...
4490102	   .	   .	    0.0	  721.5	  488.2	 6086.0	32768.0	.C...
