## [iView]
## Converted from:	abcedf
## Date:	00.00.0000 00:00:00
## Version:	IDF Converter 0.0.00
## IDF Version:	0
## Sample Rate:	500
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4651                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	abcedf                                                                                                                                                                                                                                                          
## Description:	abc                                                                                                                                                                                                                                                             
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1920 1200
## Calibration Point 0:	Position(960;600)
## Calibration Point 1:	Position(480;120)
## Calibration Point 2:	Position(1728;300)
## Calibration Point 3:	Position(1440;1080)
## Calibration Point 4:	Position(192;900)
## [Geometry]
## Stimulus Dimension [mm]:	474 297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	abcdefaoe
## Operating System :	0.0
## iView X Version:	0.0.00
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, HEADPOSITION, HEADROTATION, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [mm]	H ROT Y [mm]	H ROT Z [mm]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
16291781405	SMP	1	0.00	0.00	633.34	455.53	0.00	0.00	0.00	13.50	13.50	3.44	424.00	463.00	429.00	462.00	633.51	455.44	640.00	455.51	0.00	0.00	0.00	0.00	0	907	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-56.46	13.09	647.67	-0.82	14.32	620.46	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291783306	SMP	1	0.00	0.00	632.24	455.64	0.00	0.00	0.00	13.28	13.28	3.46	423.00	462.00	428.00	461.00	632.69	455.36	639.00	455.52	0.00	0.00	0.00	0.00	0	862	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-56.79	13.37	648.45	-1.05	14.33	620.65	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291785315	SMP	1	0.00	0.00	630.95	455.49	0.00	0.00	0.00	14.08	14.08	3.52	422.00	462.00	427.00	461.00	632.00	455.51	637.00	455.00	0.00	0.00	0.00	0.00	0	1435	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-57.12	13.38	649.22	-1.40	14.40	621.70	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291787313	SMP	1	0.00	0.00	625.78	455.49	0.00	0.00	0.00	13.98	13.98	3.57	417.00	462.00	422.00	461.00	627.00	455.52	633.51	455.00	0.00	0.00	0.00	0.00	0	1192	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-58.52	13.40	649.98	-2.47	14.40	621.78	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291791331	SMP	1	0.00	0.00	627.50	455.39	0.00	0.00	0.00	13.86	13.86	3.60	420.00	462.00	425.00	461.00	629.52	455.00	635.49	455.00	0.00	0.00	0.00	0.00	0	957	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-57.79	13.41	650.74	-1.90	14.48	622.15	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291793310	SMP	1	0.00	0.00	626.20	455.26	0.00	0.00	0.00	13.88	13.88	3.62	419.00	462.00	424.00	461.00	628.51	455.00	634.46	455.00	0.00	0.00	0.00	0.00	0	1434	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-58.12	13.43	651.49	-2.16	14.48	622.53	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291795311	SMP	1	0.00	0.00	620.97	455.18	0.00	0.00	0.00	13.69	13.69	3.64	414.00	462.00	419.00	461.00	623.51	455.00	629.55	455.00	0.00	0.00	0.00	0.00	0	904	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-59.52	13.45	652.23	-3.43	14.49	622.86	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291799310	SMP	1	0.00	0.00	622.43	455.27	0.00	0.00	0.00	13.99	13.99	3.66	415.00	462.00	421.00	461.00	625.50	455.00	632.57	455.00	0.00	0.00	0.00	0.00	0	907	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-59.12	13.45	652.28	-2.79	14.49	622.66	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291801308	SMP	1	0.00	0.00	621.16	455.14	0.00	0.00	0.00	13.83	13.83	3.67	414.00	462.00	420.00	461.00	624.50	455.00	631.56	455.00	0.00	0.00	0.00	0.00	0	1430	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-59.39	13.45	652.33	-3.04	14.48	622.47	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291803314	SMP	1	0.00	0.00	615.90	455.04	0.00	0.00	0.00	13.74	13.74	3.68	409.00	462.00	415.00	461.00	619.49	455.00	626.54	455.00	0.00	0.00	0.00	0.00	0	1051	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-60.73	13.45	652.37	-4.32	14.48	622.29	0.00	0.00	0.00	0.00	0.00	0.00	65535		
